NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
10969,LTE,0733UP,U_S_0733UP_6OCT-11TH-RSD,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10812,LTE,0237UP,U_H_0237UP_KORDY,Huawei,H,NODAL,(1)G,Cairo West,October,Golden
10830,LTE,3487UP,U_G_3487UP_6OCT-OMRANEYA2,Huawei,G,Normal,Main Power,Cairo West,October,Bronze
10829,LTE,0735UP,U_G_0735UP_6OCT-SHABAB-DST,Huawei,G,Normal,(1)G,Cairo West,October,Silver
10060,LTE,0926CA,U_N_0926CA_CINEM-RADIO,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10049,LTE,0125CA,U_S_0125CA_MADKUR,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10376,LTE,0021CA,U_S_0021CA_GIZA-B,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10725,LTE,0539CA,U_S_0539CA_RIMAN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10062,LTE,0353CA,U_S_0353CA_SADAT,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10760,LTE,3242CA,U_S_3242CA_SKARA-CNTRYCLUB,Huawei,S,Normal,Main Power,Cairo West,Maadi,Bronze
10047,LTE,0365CA,U_S_0365CA_OMAR-MAKRAM,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Silver
10046,LTE,0126CA,U_N_0126CA_FAISSAL,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10973,LTE,3705CA,U_S_3705CA_FAISAL-BRIDGE,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10044,LTE,0356CA,U_H_0356CA_GAMAL-DIN,Huawei,H,NODAL,Main Power,Cairo West,Mohandseen,Golden
10053,LTE,0020CA,U_A_0020CA_GIZA,Huawei,A,VIP & NODAL,Main Power,Cairo West,Mohandseen,Golden
10048,LTE,0921CA,U_S_0921CA_GZ-FATEH,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10045,LTE,0366CA,U_S_0366CA_SALAH-DIN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10059,LTE,0129CA,U_Y_0129CA_MOURAD,Huawei,Y,Normal,Main Power,Cairo West,Mohandseen,Bronze
10055,LTE,0808CA,U_V_0808CA_STELLA-SUDAN,Huawei,V,VIP,Main Power,Cairo West,Mohandseen,Golden
10432,LTE,1151CA,U_N_1151CA_I-NILE-TOWER-NB1,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10056,LTE,0090CA,U_A_0090CA_CA-UNV,Huawei,A,VIP & NODAL,Main Power,Cairo West,Mohandseen,Golden
10759,LTE,3127CA,U_V_3127CA_CAIRO-UNV2,Huawei,V,VIP,Main Power,Cairo West,Mohandseen,Silver
10064,LTE,0185CA,U_S_0185CA_QASSEM,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10067,LTE,0013CA,U_S_0013CA_BENELSARAYAT,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Silver
10057,LTE,3429CA,U_V_3429CA_CA-UNV3,Huawei,V,VIP,Main Power,Cairo West,Mohandseen,Silver
10833,LTE,4049UP,U_S_4049UP_6OCT-PORTO,Huawei,S,Normal,(1)G,Cairo West,October,Silver
10519,LTE,3380CA,U_S_3380CA_GIZA-4,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10920,LTE,4031UP,U_S_4031UP_6OCT-4TH-RSD3,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
11096,LTE,4032UP,U_S_4032UP_6OCT-IND-ZN5-2,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10377,LTE,3419CA,U_S_3419CA_ABTAL-2,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10971,LTE,4061UP,U_S_4061UP_6OCT-IND-ZONE9,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
11162,LTE,1052UP,U_S_1052UP_6OCT-I-UNIN-AR,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10919,LTE,3704UP,U_G_3704UP_6OCT-IND-ZONE5,Huawei,G,Normal,(1)G,Cairo West,October,Silver
10967,LTE,0229UP,U_S_0229UP_AYA,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10817,LTE,0425UP,U_S_0425UP_4TH-RSD,Huawei,S,Normal,Main Power,Cairo West,October,Golden
10834,LTE,0389UP,U_S_0389UP_NOUR-IND,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
11188,LTE,2503CA,U_S_2503CA_M-GHALIOUNGY,Huawei,S,Normal,Main Power,Cairo West,Maadi,Bronze
10288,LTE,3763CA,U_S_3763CA_UP-TOWN-CA4,Huawei,S,Normal,Main Power,Cairo West,Maadi,Bronze
11131,LTE,4043CA,U_S_4043CA_KHALIG-4,Huawei,S,Normal,Main Power,Cairo West,Maadi,Silver
10945,LTE,1699CA,U_S_1699CA_I-DEGLAZMLEK,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10284,LTE,4046CA,U_S_4046CA_GAMET-DOWEL4,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
11160,LTE,1054UP,U_S_1054UP_6OCT-I-PHRM-OS,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10364,LTE,3765CA,U_S_3765CA_VINI-SQR,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10575,LTE,0250UP,U_S_0250UP_KAFAFI,Huawei,S,Normal,Main Power,Cairo West,October,Golden
10977,LTE,3647UP,U_S_3647UP_6OCT-12DST-NTH,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10885,LTE,4028CA,U_S_4028CA_SIAC-2,Huawei,S,Normal,Main Power,Cairo West,Maadi,Bronze
10979,LTE,4003UP,U_S_4003UP_6OCT-IND-STH2,Huawei,S,Normal,Main Power,Cairo West,October,Golden
10983,LTE,1129CA,U_S_1129CA_I-BLUE-NIL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10356,LTE,4166CA,U_S_4166CA_MAADI-7,Huawei,S,Normal,Main Power,Cairo West,Maadi,Bronze
10626,LTE,0238UP,U_W_0238UP_HAMALAWY,Huawei,W,VIP & NODAL,Main Power,Cairo West,October,Golden
10908,LTE,0004UP,U_N_0004UP_6THOCT,Huawei,N,NODAL,Main Power,Cairo West,October,Silver
10571,LTE,0119UP,U_S_0119UP_MOSTAFA,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10843,LTE,0388UP,U_S_0388UP_YAHIA,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10737,LTE,0859UP,U_S_0859UP_6OCT-SOMID-2,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10727,LTE,0565UP,U_S_0565UP_6OCT-DST7,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10678,LTE,0254UP,U_G_0254UP_6OCT-HILLS,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10909,LTE,0390UP,U_G_0390UP_DAR-FOUAD,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10917,LTE,0898UP,U_G_0898UP_6OCT-SOMED-3,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10826,LTE,0693UP,U_S_0693UP_6OCT-RSD-2,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10735,LTE,0762UP,U_S_0762UP_6OCT-TE-3,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10761,LTE,3252UP,U_S_3252UP_6OCT-MENA-CTY,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10827,LTE,0858UP,U_S_0858UP_6OCT-SOMID-1,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10825,LTE,0222UP,U_S_0222UP_DESSOUKI,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
